brewery,year,estimate,annual_production
Big Barn Brewing Co / Bodacious Berries Fruits and Brews,2017,0,596
Big Block Brewing,2017,0,412
Big Time Brewery,2017,1,766
BirdsView Brewing Co,2017,0,428
Black Label Brewing Company,2017,0,260
Black Raven Brewing Co,2017,0,"10,287"
Blackbeard's Brewing Company,2017,1,223
Blewett Brewing Company,2017,0,336
Bluebird Microcreamery and Brewery,2017,1,19
Bog Water Brewing Co,2017,1,2
Bombing Range Brewing Company,2017,0,298
Boundary Bay Brewery & Bistro,2017,1,"6,051"
BrewBakers Brewery,2017,1,29
Brickyard Brewing Co,2017,1,12
Bron Yr Aur Brewing,2017,0,449
Brother Ass Brewing,2017,0,DNP
Brothers Cascadia Brewing,2017,0,600
Brouwerij Les Deplorables,2017,1,1
B-Side Brewing & Des Voigne Cellars,2017,1,254
Burdick Brewery,2017,1,58
Burwood Brewing Company,2017,0,330
Bushnell Craft Brewing Company,2017,1,143
Cairn Brewing,2017,0,DNP
Captains Brewing Company,2017,1,4
Cascadia Brewing Co. ,2017,1,52
Cash Brewing Company,2017,0,363
Chainline Brewing Company,2017,1,765
Chief Spring's Fire and Irons Brew Pub,2017,0,169
Chuckanut Brewery,2017,0,"3,300"
Circle 7 Brew Works,2017,1,12
Cloudburst Brewing,2017,0,"1,780"
Cole Street Brewery,2017,0,223
Columbia Valley Brewing,2017,1,98
Counterbalance Brewing Company,2017,1,638
Cowiche Creek Brewing Company,2017,0,317
Craft Brewing Academy/ Skagit Valley College ,2017,1,30
Crucible Brewing Company,2017,1,491
Decibel Brewing Co,2017,1,147
Der Blokken Brewery,2017,0,180
Diamond Knot Brewery B2 Brewery & Taproom,2017,0,"5,285"
Dicks Brewing Co,2017,1,"1,938"
Dirty Bucket Brewery,2017,0,750
Dirty Couch Brewery ,2017,1,115
Dog & Pony Alehouse and Grill,2017,1,18
Dog Days Brewing,2017,1,106
Doghaus Brewery,2017,0,100
Doomsday Brewing Co.,2017,1,434
Double Bluff Brewing,2017,1,211
Downpour Brewing LLC,2017,1,273
Dreadnought Brewing LLC,2017,1,166
Dru Bru,2017,0,"1,933"
Dunagan Brewing Co,2017,1,184
Dungeness Brewing Company,2017,1,7
Dwinell Country Ales,2017,0,61
Dystopian State Brewing,2017,0,600
E2W Brewing,2017,1,45
Elk Head Brewing Co,2017,0,480
Ellersick Brewing/ Big E Ales,2017,1,440
Elliott Bay Brewery and Pub,2017,0,"2,558"
Engine House No 9,2017,0,938
English Setter Brewing Company,2017,0,142
Enso Brewing Company,2017,1,4
Enumclaw Brewing Company @ Rockridge Orchards & Cidery,2017,1,2
Everybody's Brewing Co,2017,0,"5,714"
Farmstrong Brewing Co,2017,0,"2,915"
Fathom & League Hop Yard Brewery,2017,1,11
Figurehead Brewing Company,2017,0,210
Fish Brewing Co,2017,1,"8,824"
Five Dons Brewing Co,2017,1,76
Floating Bridge Brewing,2017,1,308
Floodland Brewing,2017,1,60
Flycaster Brewing Co.,2017,1,149
Flyers Restaurant and Brewery,2017,1,440
Flying Bike Cooperative Brewery,2017,0,506
Flying Lion Brewing,2017,0,433
Foggy Noggin Brewing,2017,0,81
Fortside Brewing Company,2017,1,499
Forward Operating Base Brewing Company / FOB Brewing,2017,1,7
Four Eyed Guys Brewing,2017,1,25
Four Generals Brewing,2017,0,240
Four Horsemen Brewery,2017,0,60
Fox Island Brewing,2017,1,26
Fremont Brewing Co,2017,0,"43,370"
Friday Harbor Brewing,2017,1,28
Gallaghers' Where U Brew,2017,0,DNP
Geaux Brewing LLC,2017,1,302
Genus Brewing / Nu Home Brew and Bottles,2017,1,8
Georgetown Brewing Co,2017,0,"60,732"
Ghost Runners Brewery,2017,0,549
Ghostfish Brewing Company,2017,0,"2,160"
Gig Harbor Brewing,2017,1,317
Good Brewing Company,2017,1,17
Great Western Malting Co,2017,1,14
Green Oak Brewing,2017,1,109
Gruff Brewing Company,2017,1,218
Haas Innovations Brewing LLC,2017,1,42
Hale's Ales Brewery and Pub,2017,0,"9,236"
Half Lion Brewing Company,2017,0,450
Harmon Brewing Company,2017,0,"1,905"
Haywire Brewing Company,2017,1,116
Heathen Brewing Co.,2017,1,"1,556"
Hellbent Brewing Company,2017,0,"2,264"
Hemlock State Brewing Company,2017,0,35
Herbert B. Friendly Brewing,2017,1,3
Hideaway Brewing Co,2017,1,73
Hi-Fi Brewing Co,2017,1,331
Hoh River Brewery,2017,0,38
Holy Mountain Brewing Co,2017,0,"1,970"
Hood Canal Brewery,2017,1,378
Hop Nation Brewing Company,2017,1,324
Hopped Up Brewing Company,2017,1,93
Hopworks Urban Brewery,2017,1,"13,104"
Hoquiam Brewing Company,2017,1,44
Horse Heaven Hills Brewery,2017,1,155
Ice Harbor Brewing Co,2017,0,"1,731"
Icicle Brewing Co,2017,0,"4,812"
Illuminati Brewing Company,2017,1,70
Iron Goat Brewing,2017,1,"1,469"
Iron Horse Brewery,2017,0,"24,794"
Island Hoppin' Brewery,2017,1,650
Jellyfish Brewing Company,2017,1,504
Jones Creek Brewing,2017,1,5
Justice Brewing,2017,0,50
Keyhole Valley Brewing,2017,1,13
Kulshan Brewing Co,2017,0,"9,058"
La Conner Brewing Co,2017,1,313
Laht Neppur Brewing,2017,0,175
Lake Chelan Brewing Co,2017,1,96
Lake Stevens Brewing Company,2017,1,105
Lake Tapps Brewing Company,2017,1,10
Lantern Brewing,2017,0,254
Laurelwood Public House and Brewery,2017,0,"8,381"
Lazy Boy Brewing,2017,1,721
Little Spokane Brewing Company,2017,1,90
Loowit Brewing,2017,0,"2,040"
Lopez Island Brewing Co,2017,0,DNP
Lost Canoe Brewing Co,2017,1,104
Lost Falls Brewery,2017,1,24
Lost Woods Brewery,2017,1,29
LoveCraft Brewing Co,2017,1,86
Lowercase Brewing,2017,0,709
Lucky Envelope Brewing,2017,1,921
Lumber House Brewing Company,2017,0,65
Mac and Jacks Brewery Inc,2017,1,"38,182"
Machine House Brewery,2017,0,DNP
Maelstrom Brewing Company,2017,0,53
Manfish Brewing,2017,1,18
Maritime Pacific Brewing Co,2017,1,"4,307"
Matchless Brewing,2017,0,"2,184"
Menace Brewing,2017,1,258
Middleton Brewing  Co,2017,1,168
Mile Post 111 Brewing,2017,1,38
Mill City Brew Werks,2017,1,360
Mill Creek Brewpub,2017,1,129
Mirage Beer Co.,2017,0,DNP
Mollusk Brewing,2017,0,470
MT Head Brewing Co,2017,1,131
Mt. Index Brewery,2017,1,17
Mule & Elk Brewing Co,2017,0,35
Naked City Brewing Co,2017,1,704
Narrows Brewing Company,2017,1,"1,963"
New Boundary Brewing,2017,1,51
Nine Yards Brewing,2017,1,248
No Boat Brewing Company,2017,1,416
No-Li Brewhouse,2017,0,"13,316"
North 47 Brewing Co,2017,1,162
North Fork Brewing Co,2017,1,273
North Jetty Brewing,2017,0,863
North Sound Brewing Co.,2017,0,DNP
Northern Ales,2017,0,460
Northish Beer Company,2017,1,11
Northwest Passage Craft Brewery,2017,1,18
Northwest Peaks Brewery,2017,1,398
Northwood Public House & Brewery,2017,0,60
Nosdunk Brewing Company,2017,0,13
Obec Brewing,2017,1,151
Odd Otter Brewing Company,2017,1,447
Odin Brewing Co,2017,0,"3,500"
Off Camber Brewing,2017,0,35
Ogres Brewing,2017,0,40
Old Ivy Brewery and Taproom,2017,0,300
Old Opera Brewing,2017,1,23
Old Schoolhouse Brewery,2017,1,"1,027"
Old Stove Brewing Company,2017,0,920
Olympic Range Brewing,2017,1,500
One Brewing / Harmony Meadows Center,2017,1,5
Optimism Brewing Company,2017,0,"1,200"
Orlison Brewing Company,2017,1,"1,265"
Outer Planet Craft Brewing,2017,1,3
Outlander Brewery & Pub,2017,1,297
Pacific Brewing and Malting,2017,1,889
Paper Street Brewing Company,2017,1,94
Paradise Creek Brewery,2017,0,968
Parker's Steakhouse and Brewery,2017,1,10
Pastime Brewery Bar and Grill,2017,1,17
Peddler Brewing,2017,0,802
Perihelion Brewery,2017,1,255
Perry Street Brewing Co.,2017,1,578
Pike Brewing Co,2017,0,DNP
Populuxe Brewing,2017,0,278
Port Townsend Brewing Co,2017,1,"1,956"
Postdoc Brewing Company,2017,0,"1,127"
Powerhouse Restaurant and Brewery,2017,1,127
Prison Break Brewing Company,2017,0,20
Propolis Brewing LLC,2017,1,351
Puyallup River Brewing Co,2017,0,983
Quartzite Brewing Company,2017,1,82
Quirk Brewing,2017,0,102
Rail Hop'n Brewing Co,2017,1,23
Railside Brewing,2017,1,130
Rainy Daze Brewing,2017,1,899
RAM/Big Horn Brewery,2017,0,"16,350"
Rattlesnake Mountain Brewery / Kimo's Restaurant,2017,0,550
Ravenna Brewing Company,2017,1,184
Redifer Brewing Co,2017,1,44
Republic Brewing Co,2017,0,406
Resonate Brewery + Pizzeria,2017,1,309
Reuben's Brews,2017,0,"9,104"
River City Brewing,2017,0,"1,385"
River Mile 38 Brewing Co,2017,0,203
River Time Brewing,2017,0,DNP
Riverport Brewing Co,2017,0,693
Rock Wood Fired Pizza / Keep Rockin' LLC,2017,1,"6,000"
Rocky Coulee Brewing,2017,1,198
Rooftop Brewing Co,2017,1,948
Roslyn Brewing Co,2017,1,378
Saddle Rock Pub & Brewery,2017,1,18
Salish Sea Brewing Company,2017,0,720
San Juan Island Brewing Company,2017,1,510
Scamp Brewing Co,2017,1,66
Scatter Creek Brewing,2017,1,1
Schooner Exact Brewing Co,2017,1,"2,762"
Scrappy Punk Brewing,2017,0,70
Scuttlebutt Brewing Co,2017,0,"6,714"
Seapine Brewing Company,2017,0,"3,015"
Shoug Brewing Company,2017,0,21
Shrub Steppe Smokehouse Brewery,2017,0,DNP
Silver City Brewery,2017,0,"19,797"
Skagit River Brewery,2017,1,37
Skookum Brewery,2017,1,"1,968"
Slaughter County Brewing,2017,1,163
Slippery Pig Brewery,2017,0,189
Sluggo Brewing,2017,1,50
Smitty's Brewing,2017,1,46
Snipes Mountain Brewing Co,2017,0,449
Snoqualmie Falls Brewing Co,2017,0,"2,108"
SnoTown Brewery,2017,1,50
Sound Brewery,2017,1,"1,604"
Sound To Summit,2017,0,563
Spada Farmhouse Brewery,2017,0,36
Spinnaker Bay Brewing,2017,0,186
Square Wheel Brewing Co,2017,1,80
St Brigid's Brewery,2017,0,110
Standard Brewing,2017,1,615
Steam Donkey Brewing Co,2017,0,96
Steam Plant Grill,2017,1,138
Stones Throw Brewery,2017,0,446
Stormy Mountain Brewing Company,2017,0,DNP
Stoup Brewing,2017,0,"5,023"
Structures Brewing,2017,1,310
Sumerian Brewing Company,2017,0,"2,500"
Swinnerton Brewery,2017,1,3
Tacoma Brewing Co.,2017,1,155
Taneum Creek Brewing,2017,1,9
Ten Pin Brewing,2017,0,"2,364"
The Heavy Metal Brewing Co.,2017,1,100
The Station U Brew,2017,1,105
Thirsty Crab Brewery,2017,1,24
Three Bull Brewing Co,2017,1,71
Three Magnets Brewing,2017,1,"1,484"
Tin Dog Brewing,2017,1,96
Top Frog Brewery,2017,1,77
Top Rung Brewing Company,2017,0,580
Trap Door Brewing,2017,0,682
Triceratops Brewing,2017,1,164
Triple R Brewing,2017,0,DNP
Triplehorn Brewing Co,2017,0,"1,550"
Trusty Brewing Co.,2017,1,"1,173"
TTs Old Iron Brewery,2017,1,33
Twelve Bar Brews,2017,0,20
Twelve String Brewing Co,2017,1,732
Two Beers Brewing Co,2017,1,"7,129"
Underground Brewing,2017,1,6
Urban Family Brewing,2017,1,"1,120"
V Twin Brewing Company,2017,1,59
Valholl Brewing Company,2017,1,709
Valley Brewing Co,2017,0,52
Valley House Brewing,2017,1,100
Varietal Beer Company,2017,1,26
Vashon Brewing Co,2017,0,200
Vessel Ales & Taphouse,2017,1,52
Victor 23 Craft Brewery,2017,1,339
Waddell's Brewing Co.,2017,1,572
Walking Man Brewing Co,2017,1,819
Wander Brewing,2017,0,"2,016"
Wandering Hop Brewery,2017,0,26
Water Buffalo Brewery,2017,1,32
Watts Brewing Company,2017,0,48
Wenatchee Valley Brewing Co.,2017,1,220
West Seattle Brewing Co,2017,1,437
Western Red Brewing,2017,1,122
Wet Coast Brewing Co.,2017,0,718
Whipsaw Brewing LLC,2017,0,550
Whistle Punk Brewing Company,2017,1,107
White Bluffs Brewing,2017,0,625
Whitewall Brewing Company,2017,0,302
Wicked Tueton Brewing,2017,1,67
Willapa Brewing Co LLC,2017,1,155
Wingman Brewers,2017,1,876
Yakima Craft Brewing Co,2017,0,"1,500"
Yakima Valley Hops,2017,1,5
Young Buck Brewing,2017,1,125
